condition,sepr_c_minus_b,sepr_ci_low,sepr_ci_high,sepr_clusters,propagation_burden_c_minus_b,propagation_burden_ci_low,propagation_burden_ci_high,propagation_burden_clusters,coverage_c_minus_b,coverage_ci_low,coverage_ci_high,coverage_clusters,decision_error_rate_c_minus_b,decision_error_rate_ci_low,decision_error_rate_ci_high,decision_error_rate_clusters,decision_reliable_coverage_c_minus_b,decision_reliable_coverage_ci_low,decision_reliable_coverage_ci_high,decision_reliable_coverage_clusters
clean,0.06125035201351736,-0.015400519371830915,0.14952937232149283,20,-0.12,-0.22999999999999998,-0.030000000000000027,20,-0.6699999999999999,-0.85,-0.44999999999999996,20,0.0,-0.040000000000000036,0.039999999999999925,20,-0.09,-0.15000000000000002,-0.03999999999999998,20
missing_evidence,0.024482109227871862,-0.062448375035950625,0.10830697058187323,20,-0.10000000000000009,-0.21999999999999997,0.0,20,-0.77,-0.9299999999999999,-0.5800000000000001,20,-0.05999999999999994,-0.13,0.0,20,-0.12,-0.19999999999999998,-0.06,20
contradictory_evidence,0.06732456140350873,-0.0025678481374684396,0.1611697851732029,13,-0.16923076923076918,-0.36923076923076925,0.01538461538461533,13,-0.8461538461538461,-1.0,-0.6153846153846154,13,-0.01538461538461533,-0.04615384615384621,0.0,13,-0.1076923076923077,-0.15384615384615385,-0.06153846153846154,13
superseded_appraisal,0.13834173156207052,0.057562581774043574,0.23888107416879795,13,-0.07692307692307698,-0.2311538461538462,0.06153846153846154,13,-0.7692307692307692,-1.0,-0.5384615384615384,13,0.015384615384615441,-0.03076923076923077,0.06153846153846154,13,-0.12307692307692308,-0.2153846153846154,-0.046153846153846156,13
unsupported_inference,0.0212885154061625,-0.04800446826714353,0.10156623730309604,20,-0.18999999999999995,-0.31000000000000005,-0.08000000000000007,20,-0.73,-0.9,-0.51,20,-0.050000000000000044,-0.13,0.010000000000000009,20,-0.07999999999999999,-0.13,-0.03,20
stale_state,0.0038520801232665436,-0.14374901525027362,0.17729509194982346,20,-0.38999999999999996,-0.51,-0.2597500000000013,20,-0.86,-0.96,-0.73,20,-0.010000000000000009,-0.030000000000000027,0.0,20,-0.08,-0.12000000000000001,-0.039999999999999994,20
